Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
1,Jonathan Taylor,IND,RB,26,3,3,0,0,0,0,0,60,338,5.63,3,9,8,93,11.63,1,0,0,4,,,67,75.1,78.1,71.1,39,1,1,TaylJo02
2,Lamar Jackson,BAL,QB,28,3,3,54,75,722,9,0,15,118,7.87,1,0,0,0,,0,1,0,1,,,83,82.7,88.7,82.7,33,1,2,JackLa00
3,James Cook,BUF,RB,26,3,3,0,0,0,0,0,53,284,5.36,4,9,9,71,7.89,0,1,0,4,,,60,68.5,71.5,64.0,32,2,3,CookJa01
4,Josh Allen,BUF,QB,29,3,3,69,99,755,5,0,24,114,4.75,2,0,0,0,,0,1,0,2,,,74,73.6,79.6,73.6,24,2,4,AlleJo02
5,Amon-Ra St. Brown,DET,WR,26,3,3,0,0,0,0,0,2,7,3.50,0,25,20,237,11.85,4,0,0,4,,,48,68.4,71.4,58.4,24,1,5,StxxAm00
6,Rome Odunze,CHI,WR,23,3,3,0,0,0,0,0,0,0,,0,27,16,227,14.19,4,0,0,4,,,47,62.7,65.7,54.7,22,2,6,OdunRo00
7,Tre Tucker,LVR,WR,24,3,3,0,0,0,0,0,2,11,5.50,0,20,13,211,16.23,4,0,0,4,,,46,59.2,62.2,52.7,22,3,7,TuckTr00
8,Caleb Williams,CHI,QB,24,3,3,59,93,715,7,1,16,97,6.06,1,0,0,0,,0,0,0,1,,,70,70.3,74.3,71.3,21,3,8,WillCa03
9,Bijan Robinson,ATL,RB,23,3,3,0,0,0,0,0,47,239,5.09,0,18,14,164,11.71,1,0,0,1,,,46,60.3,66.3,53.3,20,3,9,RobiBi01
10,Puka Nacua,LAR,WR,24,3,3,0,0,0,0,0,3,52,17.33,1,35,29,333,11.48,0,0,0,1,,,45,73.5,76.5,59.0,20,4,10,NacuPu00
11,Daniel Jones,IND,QB,28,3,3,63,88,816,3,0,17,55,3.24,3,0,0,0,,0,0,0,3,,,68,68.1,71.1,68.1,19,4,11,JoneDa05
