Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV
Ja'Marr Chase,WR,1,No,FALSE,154.75,235,101.40,327.05,1,1.9,0.9
Bijan Robinson,RB,1,No,FALSE,151.90,258.85,83.72,316.8,2,3.2,1.2
Saquon Barkley,RB,2,No,FALSE,145.80,252.75,77.62,310.7,3,2.2,-0.8
Jahmyr Gibbs,RB,3,No,FALSE,141.85,248.8,73.67,306.75,4,5.8,1.8
Justin Jefferson,WR,2,No,FALSE,137.80,218.05,84.45,310.1,5,4,-1
CeeDee Lamb,WR,3,No,FALSE,129.55,209.8,76.20,301.85,6,6.5,0.5
Christian McCaffrey,RB,4,No,FALSE,129.10,236.05,60.92,294,7,12.6,5.6
Puka Nacua,WR,4,No,FALSE,120.80,201.05,67.45,293.1,8,9.3,1.3
De'Von Achane,RB,5,No,FALSE,118.50,225.45,50.32,283.4,9,13.6,4.6
Ashton Jeanty,RB,6,Yes,FALSE,112.25,219.2,44.07,277.15,10,11.4,1.4
Amon-Ra St. Brown,WR,5,No,FALSE,110.75,191,57.40,283.05,11,7,-4
Malik Nabers,WR,6,No,FALSE,109.65,189.9,56.30,281.95,12,10.7,-1.3
Derrick Henry,RB,7,No,FALSE,108.25,215.2,40.07,273.15,13,8.9,-4.1
Brock Bowers,TE,1,No,FALSE,107.50,127.1,73.55,247,14,16.9,2.9
Trey McBride,TE,2,No,FALSE,105.40,125,71.45,244.9,15,26,11
Josh Jacobs,RB,8,No,FALSE,103.60,210.55,35.42,268.5,16,19.1,3.1
Nico Collins,WR,7,No,FALSE,101.55,181.8,48.20,273.85,17,13.1,-3.9
Bucky Irving,RB,9,No,FALSE,101.35,208.3,33.17,266.25,18,20.9,2.9
Jonathan Taylor,RB,10,No,FALSE,100.40,207.35,32.22,265.3,19,23.9,4.9
Brian Thomas,WR,8,No,FALSE,97.45,177.7,44.10,269.75,20,15.3,-4.7
Kyren Williams,RB,11,No,FALSE,87.45,194.4,19.27,252.35,21,27.2,6.2
A.J. Brown,WR,9,No,FALSE,87.30,167.55,33.95,259.6,22,18.5,-3.5
Chase Brown,RB,12,No,FALSE,85.60,192.55,17.42,250.5,23,27.1,4.1
Drake London,WR,10,No,FALSE,85.10,165.35,31.75,257.4,24,17.3,-6.7
Josh Allen,QB,1,No,FALSE,82.45,216.4,48.98,361,25,20,-5
James Cook,RB,13,No,FALSE,81.85,188.8,13.67,246.75,26,32.9,6.9
Tyreek Hill,WR,11,No,FALSE,81.05,161.3,27.70,253.35,27,25.5,-1.5
Jayden Daniels,QB,2,No,FALSE,80.60,214.55,47.13,359.15,28,31.3,3.3
Omarion Hampton,RB,14,Yes,FALSE,78.15,185.1,9.97,243.05,29,41.3,12.3
Lamar Jackson,QB,3,No,FALSE,77.75,211.7,44.28,356.3,30,22.6,-7.4
George Kittle,TE,3,No,FALSE,76.70,96.3,42.75,216.2,31,37.7,6.7
Alvin Kamara,RB,15,No,FALSE,75.40,182.35,7.22,240.3,32,40.2,8.2
Ladd McConkey,WR,12,No,FALSE,75.30,155.55,21.95,247.6,33,24.2,-8.8
Jalen Hurts,QB,4,No,FALSE,74.25,208.2,40.78,352.8,34,34.3,0.3
Chuba Hubbard,RB,16,No,FALSE,71.15,178.1,2.97,236.05,35,46.8,11.8
Terry McLaurin,WR,13,No,FALSE,71.10,151.35,17.75,243.4,36,41.1,5.1
Tee Higgins,WR,14,No,FALSE,69.80,150.05,16.45,242.1,37,30.6,-6.4
James Conner,RB,17,No,FALSE,65.50,172.45,-2.68,230.4,38,50.6,12.6
Davante Adams,WR,15,No,FALSE,65.05,145.3,11.70,237.35,39,43.3,4.3
Mike Evans,WR,16,No,FALSE,60.55,140.8,7.20,232.85,40,39.2,-0.8
Garrett Wilson,WR,17,No,FALSE,59.40,139.65,6.05,231.7,41,33.7,-7.3
Jaxon Smith-Njigba,WR,18,No,FALSE,56.40,136.65,3.05,228.7,42,29,-13
Breece Hall,RB,18,No,FALSE,56.30,163.25,-11.88,221.2,43,34,-9
DJ Moore,WR,19,No,FALSE,52.60,132.85,-0.75,224.9,44,48.4,4.4
Xavier Worthy,WR,20,No,FALSE,52.60,132.85,-0.75,224.9,45,55.3,10.3
DK Metcalf,WR,21,No,FALSE,52.45,132.7,-0.90,224.75,46,45.1,-0.9
Marvin Harrison,WR,22,No,FALSE,50.90,131.15,-2.45,223.2,47,36.4,-10.6
Joe Burrow,QB,5,No,FALSE,49.00,182.95,15.53,327.55,48,38,-10
Sam LaPorta,TE,4,No,FALSE,47.35,66.95,13.40,186.85,49,47.9,-1.1
Courtland Sutton,WR,23,No,FALSE,46.10,126.35,-7.25,218.4,50,51.5,1.5
Kenneth Walker,RB,19,No,FALSE,45.85,152.8,-22.33,210.75,51,44,-7
Patrick Mahomes,QB,6,No,FALSE,43.05,177,9.58,321.6,52,52.3,0.3
Calvin Ridley,WR,24,No,FALSE,42.50,122.75,-10.85,214.8,53,72.8,19.8
Jerry Jeudy,WR,25,No,FALSE,42.40,122.65,-10.95,214.7,54,74.2,20.2
Joe Mixon,RB,20,No,FALSE,41.80,148.75,-26.38,206.7,55,65.8,10.8
DeVonta Smith,WR,26,No,FALSE,41.65,121.9,-11.70,213.95,56,53.6,-2.4
Zay Flowers,WR,27,No,FALSE,40.90,121.15,-12.45,213.2,57,55.4,-1.6
T.J. Hockenson,TE,5,No,FALSE,40.45,60.05,6.50,179.95,58,57.4,-0.6
Travis Hunter,WR,28,Yes,FALSE,40.05,120.3,-13.30,212.35,59,67.6,8.6
Jaylen Waddle,WR,29,No,FALSE,39.80,120.05,-13.55,212.1,60,68.4,8.4
George Pickens,WR,30,No,FALSE,38.70,118.95,-14.65,211,61,58.7,-2.3
D'andre Swift,RB,21,No,FALSE,37.75,144.7,-30.43,202.65,62,69.9,7.9
Jameson Williams,WR,31,No,FALSE,37.15,117.4,-16.20,209.45,63,61.2,-1.8
TreVeyon Henderson,RB,22,Yes,FALSE,36.90,143.85,-31.28,201.8,64,60.8,-3.2
Rashee Rice,WR,32,No,FALSE,35.70,115.95,-17.65,208,65,48.1,-16.9
Tetairoa McMillan,WR,33,Yes,FALSE,35.15,115.4,-18.20,207.45,66,59.6,-6.4
Travis Kelce,TE,6,No,FALSE,33.95,53.55,0.00,173.45,67,62.1,-4.9
Rome Odunze,WR,34,No,FALSE,32.50,112.75,-20.85,204.8,68,80.9,12.9
Jakobi Meyers,WR,35,No,FALSE,31.90,112.15,-21.45,204.2,69,82.9,13.9
David Montgomery,RB,23,No,FALSE,30.85,137.8,-37.33,195.75,70,54.9,-15.1
Isiah Pacheco,RB,24,No,FALSE,30.35,137.3,-37.83,195.25,71,62.6,-8.4
Baker Mayfield,QB,7,No,FALSE,30.10,164.05,-3.37,308.65,72,66.6,-5.4
Aaron Jones,RB,25,No,FALSE,30.00,136.95,-38.18,194.9,73,69.7,-3.3
Tony Pollard,RB,26,No,FALSE,29.90,136.85,-38.28,194.8,74,76.9,2.9
RJ Harvey,RB,27,Yes,FALSE,28.95,135.9,-39.23,193.85,75,64.8,-10.2
Mark Andrews,TE,7,No,FALSE,28.65,48.25,-5.30,168.15,76,73.3,-2.7
Bo Nix,QB,8,No,FALSE,26.50,160.45,-6.97,305.05,77,71.4,-5.6
Brock Purdy,QB,9,No,FALSE,25.95,159.9,-7.52,304.5,78,108.2,30.2
David Njoku,TE,8,No,FALSE,25.45,45.05,-8.50,164.95,79,86.3,7.3
Jaylen Warren,RB,28,No,FALSE,25.10,132.05,-43.08,190,80,96.7,16.7
Jauan Jennings,WR,36,No,FALSE,22.60,102.85,-30.75,194.9,81,97.9,16.9
Chris Olave,WR,37,No,FALSE,21.35,101.6,-32.00,193.65,82,75.7,-6.3
Kyler Murray,QB,10,No,FALSE,20.85,154.8,-12.62,299.4,83,95.7,12.7
Evan Engram,TE,9,No,FALSE,18.85,38.45,-15.10,158.35,84,81.4,-2.6
Chris Godwin,WR,38,No,FALSE,18.15,98.4,-35.20,190.45,85,93.8,8.8
Deebo Samuel,WR,39,No,FALSE,17.35,97.6,-36.00,189.65,86,83.7,-2.3
Khalil Shakir,WR,40,No,FALSE,17.30,97.55,-36.05,189.6,87,90.7,3.7
Tyler Warren,TE,10,Yes,FALSE,16.90,36.5,-17.05,156.4,88,90.8,2.8
Tyrone Tracy,RB,29,No,FALSE,16.05,123,-52.13,180.95,89,89.8,0.8
Jordan Addison,WR,41,No,FALSE,16.00,96.25,-37.35,188.3,90,79.9,-10.1
Matthew Golden,WR,42,Yes,FALSE,15.55,95.8,-37.80,187.85,91,94.6,3.6
Kaleb Johnson,RB,30,Yes,FALSE,13.45,120.4,-54.73,178.35,92,78.4,-13.6
Dallas Goedert,TE,11,No,FALSE,12.65,32.25,-21.30,152.15,93,125.3,32.3
Stefon Diggs,WR,43,No,FALSE,12.10,92.35,-41.25,184.4,94,87.4,-6.6
Cooper Kupp,WR,44,No,FALSE,11.85,92.1,-41.50,184.15,95,85.1,-9.9
Colston Loveland,TE,12,Yes,FALSE,11.75,31.35,-22.20,151.25,96,104.2,8.2
Michael Pittman,WR,45,No,FALSE,10.85,91.1,-42.50,183.15,97,120.4,23.4
Justin Fields,QB,11,No,FALSE,10.75,144.7,-22.72,289.3,98,150.6,52.6
Tucker Kraft,TE,13,No,FALSE,9.55,29.15,-24.40,149.05,99,114.7,15.7
Ricky Pearsall,WR,46,No,FALSE,7.80,88.05,-45.55,180.1,100,100.2,0.2
Jake Ferguson,TE,14,No,FALSE,7.70,27.3,-26.25,147.2,101,125.6,24.6
J.J. McCarthy,QB,12,No,FALSE,4.45,138.4,-29.02,283,102,151.3,49.3
Justin Herbert,QB,13,No,FALSE,4.10,138.05,-29.37,282.65,103,103.1,0.1
Rashid Shaheed,WR,47,No,FALSE,3.65,83.9,-49.70,175.95,104,142.9,38.9
Dak Prescott,QB,14,No,FALSE,3.15,137.1,-30.32,281.7,105,117.1,12.1
Caleb Williams,QB,15,No,FALSE,2.50,136.45,-30.97,281.05,106,139.6,33.6
Quinshon Judkins,RB,31,Yes,FALSE,0.45,107.4,-67.73,165.35,107,76.3,-30.7
Dalton Kincaid,TE,15,No,FALSE,0.30,19.9,-33.65,139.8,108,111.1,3.1
Hunter Henry,TE,16,No,FALSE,0.00,19.6,-33.95,139.5,109,172,63
C.J. Stroud,QB,16,No,FALSE,0.00,133.95,-33.47,278.55,109,118.9,9.9
Josh Downs,WR,48,No,FALSE,0.00,80.25,-53.35,172.3,109,110,1
Jacory Croskey-Merritt,RB,32,No,FALSE,0.00,106.95,-68.18,164.9,109,176.2,67.2
Darren Waller,TE,17,No,FALSE,-0.95,18.65,-34.90,138.55,113,209.7,96.7
Jared Goff,QB,17,No,FALSE,-1.00,132.95,-34.47,277.55,114,88.7,-25.3
Trevor Lawrence,QB,18,No,FALSE,-1.20,132.75,-34.67,277.35,115,180.3,65.3
Jayden Reed,WR,49,No,FALSE,-1.55,78.7,-54.90,170.75,116,106.3,-9.7
Drake Maye,QB,19,No,FALSE,-2.70,131.25,-36.17,275.85,117,143.7,26.7
Zach Ertz,TE,18,No,FALSE,-2.75,16.85,-36.70,136.75,118,155.4,37.4
Travis Etienne,RB,33,No,FALSE,-4.00,102.95,-72.18,160.9,119,92.9,-26.1
Keenan Allen,WR,50,No,FALSE,-6.80,73.45,-60.15,165.5,120,160.2,40.2
Kyle Pitts,TE,19,No,FALSE,-7.40,12.2,-41.35,132.1,121,115.8,-5.2
Emeka Egbuka,WR,51,Yes,FALSE,-7.55,72.7,-60.90,164.75,122,101.5,-20.5
Darnell Mooney,WR,52,No,FALSE,-8.00,72.25,-61.35,164.3,123,124.5,1.5
Jordan Love,QB,20,No,FALSE,-9.75,124.2,-43.22,268.8,124,145,21
Jonnu Smith,TE,20,No,FALSE,-9.80,9.8,-43.75,129.7,125,102.8,-22.2
Rhamondre Stevenson,RB,34,No,FALSE,-11.60,95.35,-79.78,153.3,126,123.3,-2.7
J.K. Dobbins,RB,35,No,FALSE,-12.35,94.6,-80.53,152.55,127,111.3,-15.7
Brenton Strange,TE,21,No,FALSE,-12.50,7.1,-46.45,127,128,185.1,57.1
Keon Coleman,WR,53,No,FALSE,-12.55,67.7,-65.90,159.75,129,121.8,-7.2
Cade Otton,TE,22,No,FALSE,-13.10,6.5,-47.05,126.4,130,220.4,90.4
Marvin Mims,WR,54,No,FALSE,-15.45,64.8,-68.80,156.85,131,153.9,22.9
Tua Tagovailoa,QB,21,No,FALSE,-16.15,117.8,-49.62,262.4,132,212.4,80.4
MIke Gesicki,TE,23,No,FALSE,-16.85,2.75,-50.80,122.65,133,197.5,64.5
Jayden Higgins,WR,55,Yes,FALSE,-18.00,62.25,-71.35,154.3,134,118.6,-15.4
Adam Thielen,WR,56,No,FALSE,-18.05,62.2,-71.40,154.25,135,169.5,34.5
Chig Okonkwo,TE,24,No,FALSE,-18.35,1.25,-52.30,121.15,136,208.9,72.9
Pat Freiermuth,TE,25,No,FALSE,-18.45,1.15,-52.40,121.05,137,217,80
Mason Taylor,TE,26,Yes,FALSE,-18.60,1,-52.55,120.9,138,214.4,76.4
Matthew Stafford,QB,22,No,FALSE,-18.85,115.1,-52.32,259.7,139,211.9,72.9
Dalton Schultz,TE,27,No,FALSE,-19.60,0,-53.55,119.9,140,228.6,88.6
Austin ekeler,RB,36,No,FALSE,-19.95,87,-88.13,144.95,141,152.9,11.9
Bryce Young,QB,23,No,FALSE,-20.60,113.35,-54.07,257.95,142,188.1,46.1
Geno Smith,QB,24,No,FALSE,-24.15,109.8,-57.62,254.4,143,241.6,98.6
Cam Ward,QB,25,Yes,FALSE,-24.60,109.35,-58.07,253.95,144,163.1,19.1
Tyjae spears,RB,37,No,FALSE,-25.15,81.8,-93.33,139.75,145,149.3,4.3
Hollywood Brown,WR,57,No,FALSE,-26.35,53.9,-79.70,145.95,146,194.8,48.8
Cam Skattebo,RB,38,No,FALSE,-26.70,80.25,-94.88,138.2,147,99.1,-47.9
Michael Penix,QB,26,No,FALSE,-27.10,106.85,-60.57,251.45,148,183.4,35.4
Isaiah Likely,TE,28,No,FALSE,-28.90,-9.3,-62.85,110.6,149,167.8,18.8
Javonte Williams,RB,39,No,FALSE,-30.20,76.75,-98.38,134.7,150,109.2,-40.8
Wan'Dale Robinson,WR,58,No,FALSE,-30.50,49.75,-83.85,141.8,151,195.3,44.3
Zach Charbonnet,RB,40,No,FALSE,-31.45,75.5,-99.63,133.45,152,113.7,-38.3
Jordan Mason,RB,41,No,FALSE,-31.65,75.3,-99.83,133.25,153,107,-46
Theo Johnson,TE,29,No,FALSE,-31.75,-12.15,-65.70,107.75,154,260.5,106.5
Christian Kirk,WR,59,No,FALSE,-31.75,48.5,-85.10,140.55,154,164.2,10.2
Brandon Aiyuk,WR,60,No,FALSE,-32.40,47.85,-85.75,139.9,156,122.1,-33.9
Cedric Tillman,WR,61,No,FALSE,-32.60,47.65,-85.95,139.7,157,188.3,31.3
Sam Darnold,QB,27,No,FALSE,-32.80,101.15,-66.27,245.75,158,219.8,61.8
Rashod Bateman,WR,62,No,FALSE,-34.60,45.65,-87.95,137.7,159,165.7,6.7
Ja'Tavion Sanders,TE,30,No,FALSE,-35.55,-15.95,-69.50,103.95,160,257.7,97.7
Aaron Rodgers,QB,28,No,FALSE,-39.00,94.95,-72.47,239.55,161,215.5,54.5
Juwan Johnson,TE,31,No,FALSE,-40.50,-20.9,-74.45,99,162,267.8,105.8
DeMario Douglas,WR,63,No,FALSE,-42.40,37.85,-95.75,129.9,163,209.6,46.6
Najee Harris,RB,42,No,FALSE,-43.90,63.05,-112.08,121,164,138.3,-25.7
Elijah Arroyo,TE,32,Yes,FALSE,-45.35,-25.75,-79.30,94.15,165,186.4,21.4
Rachaad White,RB,43,No,FALSE,-46.60,60.35,-114.78,118.3,166,156.2,-9.8
Xavier Legette,WR,64,No,FALSE,-47.05,33.2,-100.40,125.25,167,191.5,24.5
Luther Burden,WR,65,Yes,FALSE,-48.05,32.2,-101.40,124.25,168,153.7,-14.3
Tre' Harris,WR,66,Yes,FALSE,-48.35,31.9,-101.70,123.95,169,148.9,-20.1
Joshua Palmer,WR,67,No,FALSE,-50.40,29.85,-103.75,121.9,170,190,20
Jack Bech,WR,68,Yes,FALSE,-53.10,27.15,-106.45,119.2,171,193.2,22.2
Romeo Doubs,WR,69,No,FALSE,-53.15,27.1,-106.50,119.15,172,218.4,46.4
Brian Robinson,RB,44,No,FALSE,-53.55,53.4,-121.73,111.35,173,83.4,-89.6
Trey Benson,RB,45,No,FALSE,-54.55,52.4,-122.73,110.35,174,162.5,-11.5
Noah Fant,TE,33,No,FALSE,-55.40,-35.8,-89.35,84.1,175,298.9,123.9
Tank Bigsby,RB,46,No,FALSE,-57.55,49.4,-125.73,107.35,176,146.1,-29.9
Jaydon Blue,RB,47,No,FALSE,-58.60,48.35,-126.78,106.3,177,144.5,-32.5
Darius Slayton,WR,70,No,FALSE,-60.00,20.25,-113.35,112.3,178,263.9,85.9
Noah Gray,TE,34,No,FALSE,-60.85,-41.25,-94.80,78.65,179,269.1,90.1
Josh Reynolds,WR,71,No,FALSE,-61.10,19.15,-114.45,111.2,180,500,320
Jerome Ford,RB,48,No,FALSE,-61.15,45.8,-129.33,103.75,181,184,3
Quentin Johnston,WR,72,No,FALSE,-61.65,18.6,-115.00,110.65,182,227.1,45.1
tyler Allgeier,RB,49,No,FALSE,-63.95,43,-132.13,100.95,183,187.4,4.4
Will Dissly,TE,35,No,FALSE,-64.15,-44.55,-98.10,75.35,184,,-184
Michael Wilson,WR,73,No,FALSE,-64.25,16,-117.60,108.05,185,258.8,73.8
Tyler Lockett,WR,74,No,FALSE,-64.80,15.45,-118.15,107.5,186,222.2,36.2
Dyami Brown,WR,75,No,FALSE,-65.45,14.8,-118.80,106.85,187,256.1,69.1
Justice Hill,RB,50,No,FALSE,-65.90,41.05,-134.08,99,188,226.9,38.9
Ray Davis,RB,51,No,FALSE,-70.05,36.9,-138.23,94.85,189,174.5,-14.5
Jaylen Wright,RB,52,No,FALSE,-71.40,35.55,-139.58,93.5,190,192.1,2.1
Tutu Atwell,WR,76,No,FALSE,-72.40,7.85,-125.75,99.9,191,287.2,96.2
Nick Westbrook-Ikhine,WR,77,No,FALSE,-72.70,7.55,-126.05,99.6,192,500,308
Cole Kmet,TE,36,No,FALSE,-73.15,-53.55,-107.10,66.35,193,271.8,78.8
Calvin Austin,WR,78,No,FALSE,-74.30,5.95,-127.65,98,194,251.3,57.3
Nick Chubb,RB,53,No,FALSE,-74.40,32.55,-142.58,90.5,195,137.2,-57.8
Jalen Tolbert,WR,79,No,FALSE,-75.55,4.7,-128.90,96.75,196,,-196
Kyle Williams,WR,80,Yes,FALSE,-75.60,4.65,-128.95,96.7,197,171.6,-25.4
Brandin Cooks,WR,81,No,FALSE,-76.10,4.15,-129.45,96.2,198,,-198
Alec Pierce,WR,82,No,FALSE,-76.40,3.85,-129.75,95.9,199,247.5,48.5
Tyler Conklin,TE,37,No,FALSE,-76.95,-57.35,-110.90,62.55,200,289.2,89.2
Harold Fannin,TE,38,Yes,FALSE,-78.10,-58.5,-112.05,61.4,201,265.7,64.7
Rico Dowdle,RB,54,No,FALSE,-79.10,27.85,-147.28,85.8,202,198.9,-3.1
Adonai Mitchell,WR,83,No,FALSE,-79.40,0.85,-132.75,92.9,203,248.3,45.3
Jordan Whittington,WR,84,No,FALSE,-80.25,0,-133.60,92.05,204,287.3,83.3
DeAndre Hopkins,WR,85,No,FALSE,-80.65,-0.4,-134.00,91.65,205,199.4,-5.6
Jalen Coker,WR,86,No,FALSE,-81.90,-1.65,-135.25,90.4,206,255.1,49.1
Bhayshul Tuten,RB,55,No,FALSE,-83.15,23.8,-151.33,81.75,207,173.8,-33.2
Kavontae Turpin,WR,87,No,FALSE,-84.60,-4.35,-137.95,87.7,208,500,292
Terrance Ferguson,TE,39,Yes,FALSE,-86.70,-67.1,-120.65,52.8,209,261.5,52.5
Dylan Sampson,RB,56,No,FALSE,-89.80,17.15,-157.98,75.1,210,181.6,-28.4
Braelon Allen,RB,57,No,FALSE,-89.95,17,-158.13,74.95,211,178.9,-32.1
Troy Franklin,WR,88,No,FALSE,-91.65,-11.4,-145.00,80.65,212,279,67
Roschon Johnson,RB,58,No,FALSE,-92.85,14.1,-161.03,72.05,213,223.9,10.9
Jalen McMillan,WR,89,No,FALSE,-93.30,-13.05,-146.65,79,214,200.8,-13.2
Allen Lazard,WR,90,No,FALSE,-93.70,-13.45,-147.05,78.6,215,500,285
Tre Tucker,WR,91,No,FALSE,-94.40,-14.15,-147.75,77.9,216,,-216
Miles Sanders,RB,59,No,FALSE,-97.75,9.2,-165.93,67.15,217,246.6,29.6
Noah Brown,WR,92,No,FALSE,-98.45,-18.2,-151.80,73.85,218,500,282
Jalen Nailor,WR,93,No,FALSE,-98.95,-18.7,-152.30,73.35,219,,-219
Blake Corum,RB,60,No,FALSE,-99.45,7.5,-167.63,65.45,220,221.1,1.1
Isaac Guerendo,RB,61,No,FALSE,-101.80,5.15,-169.98,63.1,221,167.7,-53.3
Raheem Mostert,RB,62,No,FALSE,-102.45,4.5,-170.63,62.45,222,244.4,22.4
Andrei Iosivas,WR,94,No,FALSE,-102.50,-22.25,-155.85,69.8,223,263.4,40.4
Malik Washington,WR,95,No,FALSE,-102.55,-22.3,-155.90,69.75,224,,-224
Kendre Miller,RB,63,No,FALSE,-102.70,4.25,-170.88,62.2,225,265,40
Kareem Hunt,RB,64,No,FALSE,-104.50,2.45,-172.68,60.4,226,195.4,-30.6
Greg Dortch,WR,96,No,FALSE,-105.05,-24.8,-158.40,67.25,227,500,273
Dont'e Thornton,WR,97,No,FALSE,-105.50,-25.25,-158.85,66.8,228,181.6,-46.4
Pat Bryant,WR,98,Yes,FALSE,-105.70,-25.45,-159.05,66.6,229,225.8,-3.2
Elic Ayomanor,WR,99,No,FALSE,-106.45,-26.2,-159.80,65.85,230,216.7,-13.3
Anthony Richardson,QB,29,No,FALSE,-106.75,27.2,-140.22,171.8,231,243.5,12.5
Jaleel Mclaughlin,RB,65,No,FALSE,-106.80,0.15,-174.98,58.1,232,281.8,49.8
Devin Neal,RB,66,No,FALSE,-106.95,0,-175.13,57.95,233,262,29
Devaughn Vele,WR,100,No,FALSE,-107.10,-26.85,-160.45,65.2,234,,-234
Demarcus Robinson,WR,101,No,FALSE,-107.60,-27.35,-160.95,64.7,235,500,265
Jaylin Noel,WR,102,Yes,FALSE,-108.75,-28.5,-162.10,63.55,236,253.7,17.7
Dontayvion Wicks,WR,103,No,FALSE,-108.95,-28.7,-162.30,63.35,237,275.8,38.8
Tai Felton,WR,104,Yes,FALSE,-109.05,-28.8,-162.40,63.25,238,,-238
Ty Johnson,RB,67,No,FALSE,-111.25,-4.3,-179.43,53.65,239,,-239
Curtis Samuel,WR,105,No,FALSE,-111.75,-31.5,-165.10,60.55,240,500,260
Tory Horton,WR,106,No,FALSE,-111.85,-31.6,-165.20,60.45,241,237.6,-3.4
Marshawn Lloyd,RB,68,No,FALSE,-111.90,-4.95,-180.08,53,242,263.6,21.6
Woody Marks,RB,69,No,FALSE,-113.05,-6.1,-181.23,51.85,243,213.9,-29.1
Chimere Dike,WR,107,No,FALSE,-114.50,-34.25,-167.85,57.8,244,,-244
Jalen Royals,WR,108,No,FALSE,-114.80,-34.55,-168.15,57.5,245,249,4
Amari Cooper,WR,109,No,FALSE,-115.80,-35.55,-169.15,56.5,246,258.8,12.8
Malachi Corley,WR,110,No,FALSE,-116.55,-36.3,-169.90,55.75,247,500,253
Will Shipley,RB,70,No,FALSE,-121.45,-14.5,-189.63,43.45,248,223.4,-24.6
Trevor Etienne,RB,71,No,FALSE,-121.65,-14.7,-189.83,43.25,249,286.8,37.8
Van Jefferson,WR,111,No,FALSE,-126.10,-45.85,-179.45,46.2,250,500,250
Gabe Davis,WR,112,No,FALSE,-126.25,-46,-179.60,46.05,251,500,249
Marquez Valdes-Scantling,WR,113,No,FALSE,-128.40,-48.15,-181.75,43.9,252,289.8,37.8
Russell Wilson,QB,30,No,FALSE,-133.95,0,-167.42,144.6,253,259.9,6.9
Zack Moss,RB,72,No,FALSE,-146.85,-39.9,-215.03,18.05,254,292.4,38.4
Isaac TeSlaa,WR,114,Yes,FALSE,-159.30,-79.05,-212.65,13,255,234.4,-20.6
Joe Flacco,QB,31,No,FALSE,-162.45,-28.5,-195.92,116.1,256,278,22
Daniel Jones,QB,32,No,FALSE,-172.10,-38.15,-205.57,106.45,257,278.3,21.3
Tyler Shough,QB,33,Yes,FALSE,-202.60,-68.65,-236.07,75.95,258,272.2,14.2
Jaxson Dart,QB,34,Yes,FALSE,-213.05,-79.1,-246.52,65.5,259,239.1,-19.9
