Player,Position,Positional Rank,Rookie,Drafted?,PAWS,PARL,PAAS,Proj Points,My Rank,Sleeper ADP,Raw NV,
Bijan Robinson,RB,1,No,TRUE,156.45,274.35,87.85,323.65,1,3.2,2.2,
Ja'Marr Chase,WR,1,No,TRUE,156.15,251.6,104.27,333.6,2,1.9,-0.1,x
Saquon Barkley,RB,2,No,TRUE,145.15,263.05,76.55,312.35,3,2.2,-0.8,
Jahmyr Gibbs,RB,3,No,TRUE,143.05,260.95,74.45,310.25,4,5.8,1.8,
Justin Jefferson,WR,2,No,TRUE,133.40,228.85,81.52,310.85,5,4,-1,x
CeeDee Lamb,WR,3,No,TRUE,131.35,226.8,79.47,308.8,6,6.5,0.5,
Christian McCaffrey,RB,4,No,TRUE,128.80,246.7,60.20,296,7,12.6,5.6,
De'Von Achane,RB,5,No,TRUE,119.35,237.25,50.75,286.55,8,13.6,5.6,x
Ashton Jeanty,RB,6,Yes,TRUE,118.45,236.35,49.85,285.65,9,11.4,2.4,x
Puka Nacua,WR,4,No,TRUE,115.95,211.4,64.07,293.4,10,9.3,-0.7,
Brock Bowers,TE,1,No,TRUE,115.15,138.9,78.54,255,11,16.9,5.9,
Trey McBride,TE,2,No,TRUE,113.50,137.25,76.89,253.35,12,26,14,x
Malik Nabers,WR,5,No,TRUE,112.30,207.75,60.42,289.75,13,10.7,-2.3,
Derrick Henry,RB,7,No,TRUE,108.30,226.2,39.70,275.5,14,8.9,-5.1,
Amon-Ra St. Brown,WR,6,No,TRUE,105.85,201.3,53.97,283.3,15,7,-8,
Jonathan Taylor,RB,8,No,TRUE,104.65,222.55,36.05,271.85,16,23.9,7.9,
Josh Jacobs,RB,9,No,TRUE,104.05,221.95,35.45,271.25,17,19.1,2.1,x
Nico Collins,WR,7,No,TRUE,100.15,195.6,48.27,277.6,18,13.1,-4.9,
Brian Thomas,WR,8,No,TRUE,94.80,190.25,42.92,272.25,19,15.3,-3.7,
Bucky Irving,RB,10,No,TRUE,94.65,212.55,26.05,261.85,20,20.9,0.9,
